symbol,company,industry,year,current_ratio,debt_to_assets,debt_to_equity,net_margin,roa,roe,asset_turnover,liquidity_score,liquidity_status,leverage_score,leverage_status,profitability_score,profitability_status,overall_score
AAPL,Apple Inc,CONSUMER ELECTRONICS,2025,0.8932929222186667,0.7947533828265705,3.872187487285205,0.2691506412181824,0.3117962593356549,1.5191298333175105,1.1584451663368045,2,Weak,2,Weak,5,Excellent,3.05
AAPL,Apple Inc,CONSUMER ELECTRONICS,2024,0.8673125765340832,0.8439640528248123,5.408779631255487,0.23971255769943867,0.25682503150857583,1.6459350307287095,1.0713874732862074,2,Weak,2,Weak,5,Excellent,3.05
AAPL,Apple Inc,CONSUMER ELECTRONICS,2023,0.9880116717592975,0.8237407929480435,4.673462491552152,0.2530623426432028,0.27509834563776475,1.5607601454639075,1.087077369016657,2,Weak,2,Weak,5,Excellent,3.05
MSFT,Microsoft Corporation,SOFTWARE - INFRASTRUCTURE,2025,1.3534464445042416,0.44510931287893596,0.8021567548525529,0.3614601524896707,0.16450970350709124,0.2964722734140952,0.4551254194244616,3,Adequate,4,Good,5,Excellent,4.05
MSFT,Microsoft Corporation,SOFTWARE - INFRASTRUCTURE,2024,1.2749549031815206,0.47579774407756903,0.9076606189729474,0.35955972944084985,0.17208583985957596,0.32828137978299815,0.47860153896318164,3,Adequate,4,Good,5,Excellent,4.05
MSFT,Microsoft Corporation,SOFTWARE - INFRASTRUCTURE,2023,1.76916725076573,0.499429578422044,0.9977209137681055,0.3414623787839464,0.175643726819038,0.35088714643856406,0.5143867603938094,4,Good,4,Good,5,Excellent,4.35
JPM,JPMorgan Chase & Co,BANKS - DIVERSIFIED,2025,14.853263554402865,0.9180912562995774,11.208708799849905,0.20392857781193588,0.01289249474564397,0.1574007140531622,0.06322063775452552,5,Excellent,1,Poor,4,Good,3.25
JPM,JPMorgan Chase & Co,BANKS - DIVERSIFIED,2024,0.6453069687287412,0.9138710916869982,10.610503599626405,0.215928268873551,0.014607473642292647,0.16960012530528662,0.06764965846526969,1,Poor,1,Poor,4,Good,2.05
JPM,JPMorgan Chase & Co,BANKS - DIVERSIFIED,2023,0.3117956750788601,0.9153949031749812,10.819618882633174,0.20972349781820182,0.012786316123293819,0.15112938349020064,0.06096749413543349,1,Poor,1,Poor,4,Good,2.05
GOOGL,Alphabet Inc Class A,INTERNET CONTENT & INFORMATION,2025,2.005333592875566,0.3024050826416432,0.4334966828410774,0.32799537426513103,0.22202959610671263,0.3182786895115167,0.6769290469542956,5,Excellent,4,Good,5,Excellent,4.65
GOOGL,Alphabet Inc Class A,INTERNET CONTENT & INFORMATION,2024,1.8369313974102914,0.27800184783767456,0.38504509603671666,0.28603671811164,0.22235794747876764,0.30797578472025694,0.7773755374720159,4,Good,5,Excellent,5,Excellent,4.7
GOOGL,Alphabet Inc Class A,INTERNET CONTENT & INFORMATION,2023,2.096584936563424,0.29576383228294795,0.41997819175027085,0.24006649446638517,0.18339082287918249,0.26041096905557576,0.7639167776695361,5,Excellent,5,Excellent,5,Excellent,5.0
JNJ,Johnson & Johnson,DRUG MANUFACTURERS - GENERAL,2025,1.027676163027011,0.5906631193213192,1.4429755714706172,0.2845646704107524,0.13455147833944078,0.3287059746885117,0.472832689122032,3,Adequate,3,Adequate,5,Excellent,3.6999999999999997
JNJ,Johnson & Johnson,DRUG MANUFACTURERS - GENERAL,2024,1.1107291190556627,0.6030626748989473,1.5192894111064486,0.1583634500850024,0.07809932039266201,0.19675479087984332,0.49316506018744727,3,Adequate,3,Adequate,4,Good,3.3499999999999996
JNJ,Johnson & Johnson,DRUG MANUFACTURERS - GENERAL,2023,1.1558489261483946,0.5895510808197758,1.4363567627301015,0.41279254101151963,0.20979601093352748,0.511137930031698,0.5082359541173802,3,Adequate,3,Adequate,5,Excellent,3.6999999999999997
WMT,Walmart Inc.,DISCOUNT STORES,2026,0.7897533242144247,0.6500590161170205,1.8576247026110002,0.03069845182658102,0.07690713392443127,0.21977172570946726,2.5052447061137886,1,Poor,3,Adequate,5,Excellent,3.0999999999999996
WMT,Walmart Inc.,DISCOUNT STORES,2025,0.8226828460200447,0.651054546569896,1.8657774164130398,0.028541010448100913,0.07451796812397679,0.2135519101666795,2.610908547175671,2,Weak,3,Adequate,5,Excellent,3.4
WMT,Walmart Inc.,DISCOUNT STORES,2024,0.8318671211383434,0.641159434070658,1.786752934162149,0.023932111861137896,0.0614542846841707,0.1712579081604487,2.5678588266989966,2,Weak,3,Adequate,4,Good,3.05
XOM,Exxon Mobil Corp,OIL & GAS INTEGRATED,2025,1.1527996681874741,0.42227716156621675,0.7309338206379681,0.08905080193266544,0.06424339614236714,0.11120106713546606,0.7214241168871665,3,Adequate,4,Good,3,Adequate,3.3499999999999996
XOM,Exxon Mobil Corp,OIL & GAS INTEGRATED,2024,1.3084045685351386,0.41847951926787585,0.7196298894598131,0.09927869664285904,0.07427090798831247,0.12771847329402172,0.7481051877170737,3,Adequate,4,Good,3,Adequate,3.3499999999999996
XOM,Exxon Mobil Corp,OIL & GAS INTEGRATED,2023,1.4791015983832445,0.4557726597522833,0.8374674075448482,0.10758984992396108,0.0956906012749889,0.17582836105116162,0.889401754371979,3,Adequate,4,Good,4,Good,3.6999999999999997
